名称,价格,居室,大小,状态,标签,区域,附近学校,地址
城建琥珀东华府,15500,2居/3居,107~142平米,在售,普通住宅/花园洋房/品牌地产/景观居所,[二,,[二环以外]瑶海区门台路与半塔南路交口西南,
城建琥珀蜀熙府,16000,2居/3居/4居,97~129平米,在售,普通住宅/花园洋房/品牌地产,[二,,[二环以外]蜀山区西二环路以西、樊洼路以南,
招商雍和府,20000,4居,133~134平米,在售,普通住宅/花园洋房/品牌地产/地铁沿线,[二,,[二环以外]滨湖新区紫云路与上海路交口东南角,
华地・紫悦府,13500,3居/4居,92~121平米,在售,普通住宅/低密居所/景观居所,[二,,[二环以外]新站区大众路与涣水路交口西南角,
恒大帝景,6400,1居/2居/3居,53~130平米,在售,标准写字楼/景观居所,[二,,[二环以外]长丰阜阳北路与泉阳路交口东南角,
合肥启迪科技城,7200,1居,2072~3200平米,在售,普通住宅/企业独栋/湖景地产/科技住宅,[二,,[二环以外]经开区宿松路与锦绣大道交口西200米招商中心,
安粮国贸中心,11500,安粮国贸中心均价为：11500元/平方米,,在售,标准写字楼,[一,,[一至二环]蜀山区金寨南路811号,
星海城,9000,1居,58~66平米,在售,普通住宅/商用公寓/地铁沿线/酒店式公寓,[一,,[一至二环]包河区马鞍山路与南二环路交口,
保利熙悦府,15300,3居/4居,100~164平米,在售,商住楼/品牌地产,[一,,[一至二环]瑶海区铜陵路与裕溪路交口西北,
伟星国宾台,24000,4居,148平米,在售,普通住宅/花园洋房/品牌地产/低密居所,[一,,[一至二环]蜀山区望江西路与石台路交口向北50米,
安建・翰林天筑,13200,1居/2居/3居/4居,45~125平米,在售,普通住宅/商业/品牌地产/低密居所,[二,,[二环以外]瑶海区新安江路与大众路交口,
祥源・玖悦湾,11000,2居/3居/4居,80~113平米,在售,普通住宅/花园洋房/不限购,[二,,[二环以外]长丰岗集镇合淮路与育才路交汇处西侧(衡安学校对面),
闽商国贸中心,10500,1居,0~60平米,在售,标准写字楼/品牌地产/豪华居住区/酒店式公寓,[一,,[一至二环]瑶海区七里站街道长江东大街277号,
碧桂园・时代倾城,15800,3居/4居,96~148平米,在售,普通住宅/花园洋房/品牌地产,[二,,[二环以外]庐阳区合淮路与三国城路交口向北300米,
北雁湖・h园,20000,3居/4居,126~155平米,在售,普通住宅/花园洋房,[二,,[二环以外]高新区永和路与复兴路交叉口北雁湖畔,
城建琥珀御宾府,15500,3居/4居,96~190平米,在售,普通住宅/叠拼/品牌地产,[二,,[二环以外]肥西上派镇天海路以南、滨河北路以东,
奥园城央壹品,18999,1居/2居,45~83平米,在售,普通住宅/商业/品牌地产/地铁沿线,[一,,[一至二环]蜀山区黄山路与金寨路向西200米(赛博数码广场),
水安盛世桃源,11800,1居,40平米,在售,普通住宅/小户型/景观居所/经济住宅,[二,,[二环以外]经开区金寨南路与丹霞路交口西南角,
世纪中心,16000,1居/2居,45~59平米,在售,酒店式公寓/小户型,[一,,[一环以内]庐阳区北一环与蒙城路交口向东100米,
蔚蓝商务港,15000,蔚蓝商务港在售价格为：15000元/平方米,,在售,标准写字楼/loft,[二,,[二环以外]政务区潜山路与湖东路交叉口东北,
蓝光雍锦半岛,28000,3居/4居/5居以上,105~449平米,在售,普通住宅/双拼/品牌地产,[二,,[二环以外]高新区长宁大道与彩虹路交口东北角,
美好时代,14500,3居/4居,95~129平米,在售,普通住宅/花园洋房/品牌地产,[二,,[二环以外]瑶海区长江东路与大众路交口二号线三十埠站向南约300米,
阳光城悦澜府,22000,3居/4居,98~134平米,在售,普通住宅/花园洋房,[一,,[一至二环]包河区望江东路与铜陵路交口西北角,
丽晶华庭,6000,2居/3居/4居,95~166平米,在售,普通住宅/水景地产/低密居所/教育地产,[二,,[二环以外]居巢区金湖大道项目南侧,
文一・春风里,9500,文一・春风里均价为：9500元/平方米,,在售,总部园区/品牌地产/小户型,[二,,[二环以外]滨湖新区徽州大道与南宁路交口,
加侨京冠学府壹号,6700,2居/3居/4居,90~119平米,在售,普通住宅/品牌地产,空港,,空港新城科学路与永乐路交口向北200米,
碧桂园・钻石湾,9800,3居/4居/5居,108~198平米,在售,普通住宅/叠拼/花园洋房/科技住宅,庐城,,庐城镇城东新区城东大道与白山路交叉口(庐江一中斜对面),
国贸景成,23000,3居/4居,103~128平米,在售,普通住宅/花园洋房/品牌地产,[二,,[二环以外]庐阳区固镇路与怀宁路交口,
天鹅湖ΜΟΜΛ,25800,1居/4居/5居,33~290平米,在售,普通住宅/花园洋房/品牌地产/科技住宅,[二,,[二环以外]政务区政务区祁门路与石台路交叉口,
美好・紫蓬山壹号,14500,3居/4居/5居,140~315平米,在售,别墅/特色别墅/湖景地产/山景地产,[二,,[二环以外]肥西紫蓬山风景区,
圣联梦溪小镇,14999,3居/5居,220~330平米,在售,联排/普通住宅/景观居所/,[二,合肥市第七十一中学/教育局划片,[二环以外]新站区职教城淮海大道与梦溪路交口,
中辰・优唐广场,16000,中辰・优唐广场在售价格为：16000元/平方米,,在售,标准写字楼/loft,[二,,[二环以外]包河区金寨南路157号,
中辰未来港,8000,1居/3居/4居,53~1260平米,在售,标准写字楼/品牌地产,[二,,[二环以外]包河区大连路121号,
高速滨湖时代广场金融中心,12000,1居/5居以上,50~1800平米,在售,标准写字楼/酒店写字楼/小户型,[二,,[二环以外]滨湖新区徽州大道与方兴大道交汇处以南,
正奇金融广场,9980,正奇金融广场均价为：9980元/平方米,,在售,其他/地铁沿线,[一,,[一至二环]庐阳区临泉路和昆仑路交口,
金辉・优步大道,12500,3居,88~99平米,在售,普通住宅/花园洋房,[二,,[二环以外]肥东新安江路与大众路交汇处,
正荣・悦都荟,14500,3居/4居,95~130平米,在售,普通住宅,[请,,[请选择]新站区淮海大道与大众路交口,
世茂国风,19200,4居/5居以上,181~339平米,在售,合院/普通住宅/地铁沿线/低密居所,[二,,[二环以外]高新区习友路与杨林路交叉口西北角,
合肥融创文旅城|梧桐街,20000,2居/3居/4居,86~182平米,在售,普通住宅/品牌地产/复合地产/湖景地产,[二,,[二环以外]滨湖新区徽州大道与嘉临江路交口东南角,
静安・春晖里,15500,3居/4居/5居,130~195平米,在售,普通住宅/品牌地产/低密居所/花园洋房,[二,,[二环以外]瑶海区龙岗路与姑溪路交口,
恒大中心,13000,1居/2居,40~2185平米,在售,商住楼/品牌地产/酒店式公寓,[二,,[二环以外]滨湖新区南宁路与衡山路交口,
华地・黄麓公馆,9300,3居/4居,89~133平米,在售,普通住宅/花园洋房/品牌地产/低密居所,[二,,[二环以外]巢湖滨湖东・半岛大学城(书香路与富煌路交口),
弘阳信德・东方印,10500,3居,98~113平米,在售,普通住宅/花园洋房/品牌地产/景观居所,[二,,[二环以外]肥东瑶岗路店忠路交叉口(县人民医院新区向南50米),
都荟大观,11000,3居/4居,95~102平米,在售,普通住宅/花园洋房/品牌地产/低密居所,[二,,[二环以外]肥东包公大道与桂王路交汇处东北侧,
中翰・名庭,11000,1居/2居,53~80平米,在售,商住公寓/景观居所,[二,,[二环以外]蜀山区长江西路与科学大道交口,
信铃国际天启,11500,信铃国际天启在售价格为：11500元/平方米,,在售,酒店式公寓/低总价/小户型/地铁沿线,[二,,[二环以外]高新区长江西路与科学大道交叉口东南角(2号线科学大道站a出口),
华地・金融中心,13000,1居,1591~1625平米,在售,标准写字楼/品牌地产,[一,,[一至二环]蜀山区潜山路267号,
高速中央广场,11000,5居,1700平米,在售,标准写字楼/写字楼商铺/小户型,[二,,[二环以外]滨湖新区义城街道包河大道和紫云路交口向西50米,
碧桂园新城・十里春风,11000,2居/4居,99~132平米,在售,普通住宅/住宅底商/品牌地产,[二,,[二环以外]肥东祥和路与包公大道交口西北角,
金科・半岛壹号,15000,2居/3居/4居/5居,127~497平米,在售,别墅/花园洋房/湖景地产/宜居生态地产,[二,,[二环以外]长丰蒙城北路与梅冲支路交口向西500米,
旭辉玖著,13000,3居,95~116平米,在售,普通住宅/花园洋房/,[二,合肥市第四十五中学工业区分校,[二环以外]庐阳区阜阳北路与连水路交口,
中梁华地辰阳府,11000,3居,89~100平米,在售,花园洋房/品牌地产,[二,,[二环以外]长丰富民路和朝阳路交口,
雍景湾,7200,2居/3居,0~139平米,在售,普通住宅/景观居所/公园地产,[二,,[二环以外]居巢区巢湖南路以东、裕溪路以南,
丽丰・铂羽公馆,15000,3居/4居,115~137平米,在售,普通住宅/花园洋房,[二,,[二环以外]肥西金寨南路与创新大道交口,
上坤海棠四季,18500,3居,133平米,在售,普通住宅/住宅底商/品牌地产/地铁沿线,[一,,[一至二环]庐阳区凤台路与凤淮路交口东南角,
普天合电world庐州公馆,24000,3居/4居,105~328平米,在售,普通住宅/花园洋房/地铁沿线/低密居所,[二,,[二环以外]庐阳区四里河路与迎春路交口西南,
奥青城,10800,2居/3居/4居,84~127平米,在售,普通住宅/湖景地产/旅游地产/不限购,[二,,[二环以外]长丰元一高尔夫别墅旁,
力高君御国际,10500,2居/3居/4居,78~127平米,在售,普通住宅/品牌地产,[二,,[二环以外]肥东包公大道与临泉东路交叉口西南侧,
斌锋・和睦公馆,12500,2居/3居/4居,85~99平米,在售,普通住宅/花园洋房/科技住宅,[二,,[二环以外]肥东日出路与北张路交口东南角,
利港银河之光,11000,利港银河之光均价为：11000元/平方米,,在售,标准写字楼/品牌地产/小户型,[一,,[一至二环]瑶海区花冲路与长江东大街交叉口西南100米,
碧桂园翡翠湾,5100,2居/3居,86~131平米,在售,普通住宅/特色别墅/湖景地产,巢湖,,巢湖比亚迪大道与杨巷路交口,
唯美・创想城,11000,1居/2居/3居,46~68平米,在售,标准写字楼/地铁沿线/复合地产,[二,,[二环以外]包河区河南路与花园大道交叉口东南150米,
汇美广场,10000,1居,30平米,在售,商住公寓,[二,,[二环以外]经开区繁华大道和宿松路交口向南200米,
蓝山CBD,11000,蓝山CBD在售价格为：11000元/平方米,,在售,标准写字楼/品牌地产/loft,[二,,[二环以外]滨湖新区紫云路与湖北路交汇处往南100米,
玲珑大厦,12000,玲珑大厦均价为：12000元/平方米,,在售,其他,[一,,[一至二环]包河区合巢路17号,
安通・缘梦天地,8500,1居,45~50平米,在售,商住公寓/中式地产,[二,,[二环以外]经开区紫云路与金寨路交口东北角,
朗峰,20000,朗峰在售价格为：20000元/平方米,,在售,写字楼商铺/品牌地产,[一,,[一至二环]庐阳区临泉路和肥西路交口东北角,
海尔地产・智慧公馆,14900,2居/3居,84~125平米,在售,普通住宅/科技住宅/,[二,合肥市郎溪路小学/教育局划片//合肥市郎溪路小学/合肥市行知学校,[二环以外]瑶海区长江东路与郎溪路交口东200米,
海亮九台别墅,15000,5居以上,412~485平米,在售,别墅/特色别墅/景观居所/山景地产,[二,,[二环以外]高新区长江西路与创新大道交口向南200米,
金辉中梁优步学府,13800,3居/4居,92~125平米,在售,普通住宅/花园洋房/品牌地产/景观居所,[二,,[二环以外]肥西青龙大道与站前路交口往东约500米(合肥八中铭传中学旁),
悦湖新著,14000,悦湖新著持续在售中,,在售,普通住宅/品牌地产,[二,,[二环以外]新站区淮海大道与前岭路东南角,
华宇信达・锦绣花城,19500,3居/4居/5居,96~227平米,在售,普通住宅/标准写字楼/品牌地产/低密居所,[二,,[二环以外]包河区包河区花园大道与重庆路交口西南角,
华地・森林语,11700,2居/3居,91~119平米,在售,普通住宅/花园洋房/低密居所,[二,,[二环以外]长丰阜阳北路与汝阳路交口往东100米,
豪盛百合丽城,5000,2居/3居,97~120平米,在售,普通住宅/配套商品房,巢湖,,巢湖巢湖市裕溪路与皖维港口路交界处,
信达万振东方樾府,11500,3居/4居,103~185平米,在售,普通住宅/花园洋房/品牌地产/低密居所,[二,,[二环以外]肥东东风大道与新世界路交叉口,
禹洲中央广场,6500,1居,48平米,在售,普通住宅/商住公寓/经济住宅/景观居所,[二,,[二环以外]肥东长江东路与燎原路交汇处,
大发长安融悦四季,13200,3居/4居,97~117平米,在售,普通住宅/市场类商铺,[二,,[二环以外]瑶海区长江东路与大众路交汇处(地铁2号线三十埠站口),
太平洋森活广场,9500,1居,46~62平米,在售,商住楼/中式地产/,[二,合肥市城西桥学校/教育局划片,[二环以外]高新区柏堰科技园香樟大道与明珠大道交口,
一尔・悦城,13000,一尔・悦城均价为：13000元/平方米,,在售,LOFT/商住公寓/品牌地产,[二,,[二环以外]瑶海区上海路与滨河路交口,
拓基・m宫墅,20000,4居/5居/5居以上,307~423平米,在售,别墅/旅游地产,[二,,[二环以外]蜀山区植物园路9号,
绿源聚龙湾,5900,2居/3居/4居,75~130平米,在售,普通住宅/配套商品房,居巢,,居巢区金湖大道与金巢大道交叉口东北角,
振荣锦尚公馆,8500,2居/3居,105~119平米,在售,普通住宅/中式地产,[二,,[二环以外]肥西高刘镇高刘地税局右侧,
合肥华冶・金石广场,12000,合肥华冶・金石广场均价为：12000元/平方米,,在售,标准写字楼/品牌地产,[一,,[一至二环]蜀山区黄山路与金寨路交口西北角,
中侨中心,13000,1居,2024平米,在售,购物中心,[二,,[二环以外]政务区市政府旁・潜山路与休宁路交口,
西湖国际广场,13000,西湖国际广场在售价格为：13000元/平方米,,在售,标准写字楼,[一,,[一至二环]蜀山区望江西路69号,
世纪金源商务中心,6700,世纪金源商务中心在售价格为：6700元/平方米,,在售,标准写字楼,[二,,[二环以外]长丰蒙城北路北城世纪城,
中星城写字楼,12000,1居,156~176平米,在售,标准写字楼/地铁沿线,[一,,[一环以内]瑶海区北一环与胜利路交口西50米,
徽创・君泊,16500,3居/4居,115~142平米,在售,普通住宅/花园洋房/品牌地产,[二,,[二环以外]蜀山区振兴路与宝月路交汇处,
旭辉・公园府,14799,2居/3居,95~135平米,在售,普通住宅/品牌地产/低密居所/公园地产,[二,,[二环以外]新站区梦溪路与浍水路交口,
雍荣府,20500,3居/4居,98~128平米,在售,普通住宅/花园洋房/品牌地产/地铁沿线,[二,,[二环以外]包河区北京路和郎溪路交口西南角,
公园天著,15000,3居/4居,95~131平米,在售,普通住宅/花园洋房/品牌地产/低密居所,[二,,[二环以外]瑶海区龙岗路与乐水路交界处,
宋都・如意长江,12800,3居/4居,99~133平米,在售,普通住宅/品牌地产,[二,,[二环以外]巢湖龟山路与长江西路交汇处,
华盛大运城・东X,11500,3居/4居,89~135平米,在售,普通住宅/小户型/国际化社区/经济住宅,[二,,[二环以外]肥东裕溪路与东风大道交口向西300米,
祥源城・湖山小筑,12000,1居,37平米,在售,普通住宅/山景地产,[二,,[二环以外]高新区望江西路与创新大道交汇处,
原树提香,17500,5居以上,272~314平米,在售,别墅/湖景地产/旅游地产,[二,,[二环以外]经开区翡翠路与方兴大道交口(安徽财贸学院对面)。,
金辉・庐州云著,20500,3居/4居,96~143平米,在售,普通住宅/品牌地产/地铁沿线,[二,,[二环以外]包河区前园路与大强路交口,
南山・柠檬郡,13500,3居/4居,96~116平米,在售,普通住宅/品牌地产,[二,,[二环以外]新站区文忠路与磨店街交口(新站管委会对面),
新城・云樾观棠,11500,3居,90~118平米,在售,普通住宅/品牌地产,[二,,[二环以外]肥东新安江路和虎山路交汇处,
滨湖宝文中心,13000,1居,35~130平米,在售,普通住宅,[二,,[二环以外]滨湖新区庐州大道与南宁路交口,
融侨・天越,13500,3居/4居,88~121平米,在售,普通住宅/品牌地产/小户型/地铁沿线,[二,,[二环以外]长丰阜阳北路与筱斋路交口向西200米,
华盛江山御府,8200,2居/3居/4居,102~132平米,在售,普通住宅/叠拼/山景地产/中式地产,[二,,[二环以外]庐江城东新区周瑜大道与外环东路交叉口西北角,
中铁佰和佰废钅,8000,1居/2居/3居,86~141平米,在售,普通住宅/品牌地产,[二,,[二环以外]巢湖中路与滨湖大道交口,
宝湾・国际城,10300,4居,133平米,在售,普通住宅/品牌地产/公园地产,[二,,[二环以外]长丰天水路与淮南路交口向北500米,
鸿路北城明珠(桔子公寓),7500,1居,51平米,在售,普通住宅/商住公寓/景观居所/经济住宅,[二,,[二环以外]长丰阜阳北路与金梅路交口(力高共和城东侧),
星光国际广场,12200,3居,101~141平米,在售,普通住宅/经济住宅/景观居所,[二,,[二环以外]肥东公园路与塘杨路交叉口,
和昌海罗街,18000,1居/2居,35~63平米,在售,普通住宅/品牌地产,[二,,[二环以外]肥西桃花工业园繁华大道与恒山路交口西南侧,
天巢广场,6000,2居/3居,94~120平米,在售,普通住宅/复合地产/配套商品房,居巢,,居巢区巢湖市长江路与东塘路交汇处,
中建・智立方,7700,1居,842~2008平米,在售,LOFT/标准写字楼/总部园区,[二,,[二环以外]包河区上海路与兰州路交汇处,
尚泽大都会,9000,尚泽大都会在售价格为：9000元/平方米,,在售,标准写字楼,[二,,[二环以外]经开区繁华大道与莲花路交叉口向南200米,
文峰中心,15000,文峰中心均价为：15000元/平方米,,在售,标准写字楼/现房,[二,,[二环以外]经开区金寨南路与繁华大道交口向南170,
佳源・东方都市,8200,3居/4居/5居以上,114~203平米,在售,普通住宅/花园洋房/品牌地产/复合地产,庐城,,庐城镇内环路与城东大道交汇处,
融创合肥壹号院商业,20000,融创合肥壹号院商业均价为：20000元/平方米,,在售,住宅底商/品牌地产,[一,,[一至二环]政务区天鹅湖路与齐云山路交口东南,
百利中心,14000,百利中心均价为：14000元/平方米,,在售,标准写字楼,[二,,[二环以外]政务区潜山路888号,
中海环宇天地,11000,1居,60~99平米,在售,市场类商铺/综合体/品牌地产,[二,,[二环以外]包河区龙川路与西递路交口,
金宇天地城,6500,2居,109平米,在售,普通住宅,上派,,上派镇合肥市肥西县金寨南路和滨河路的交汇处东北侧,
国强幸福彼岸,4200,3居,85平米,在售,普通住宅/花园洋房,双墩,,双墩镇合肥长丰县蒙城北路元一高尔夫别墅旁,
圣联时代广场,10500,1居,0~89平米,在售,标准写字楼/地铁沿线/复合地产,[二,,[二环以外]高新区创新大道与皖水路交叉口425,
坝上街环球中心,17000,2居/3居,86~147平米,在售,综合体/普通住宅/景观居所/,[一,合肥市滁州路小学/教育局划片//合肥市滁州路小学/合肥市第三十八中学,[一环以内]瑶海区长江东大街与明光路交汇处,
新华御湖庄园别墅,30000,4居/5居以上,188~455平米,在售,别墅/中式地产/,[二,第六十二中学/教育局划片//第六十二中学/合肥市第六十二中学(小学部),[二环以外]高新区大蜀山北雁湖一号,
纳尼亚小镇,9000,1居/2居/3居/4居/5居/5居以上,35~513平米,在售,独栋/联排/旅游地产,徽州,,徽州区永佳大道889号,
万瑞林山翠语,7878,3居/4居,122~146平米,在售,普通住宅/低密居所/景观居所,[二,,[二环以外]肥西官亭林海生态公园旁(中心小学对面),
文一・品一墅,26500,5居,292~308平米,在售,别墅/湖景地产,[二,,[二环以外]政务区集贤路与合欢路交口,
皖新翡翠庄园,13000,2居/3居/4居,90~186平米,在售,普通住宅/叠拼/品牌地产,[二,,[二环以外]肥东沿河西路与横大路(又名龙城路)交口,
翡翠花园芳岛墅,25000,4居/5居/5居以上,217~432平米,在售,别墅/中式地产,[二,,[二环以外]经开区翡翠路合工大南门斜对面,
文德凯旋门,7600,3居/4居,85~122平米,在售,普通住宅/花园洋房,[二,,[二环以外]长丰水湖镇杨公路与南一环交口西南角,
北城世纪城,5100,3居,91平米,在售,普通住宅/商住公寓,岗集,,岗集镇长丰北城新区蒙城北路与骱勇方徊婵,
祥和公馆,10500,2居/3居,100~118平米,在售,普通住宅/经济住宅/景观居所,[二,,[二环以外]长丰安居路与富康路交口西南,
新慧金水岸,4480,3居,107平米,在售,普通住宅,水湖,,水湖镇凤湖西路与龙湖北路交口西南角(元一高尔夫北面),
东方明珠嘉苑,11300,1居/2居/3居/4居,42~102平米,在售,普通住宅/现房/景观居所/配套商品房,[二,,[二环以外]肥东裕溪路高架东侧_水利水电学院旁,
东环中心,10000,东环中心均价为：10000元/平方米,,在售,标准写字楼/购物中心/品牌地产,[一,,[一至二环]瑶海区东一环与长江东路交口,
左能・泰和街,25000,左能・泰和街在售价格为：25000元/平方米,,在售,商住楼/地铁沿线,[二,,[二环以外]长丰阜阳北路与龙湖路交口东北角,
荣锦圆梦苑,3500,3居/4居,96~122平米,在售,普通住宅,水湖,,水湖镇长丰县长淮路中段,
南翔汽车智慧新城,7000,南翔汽车智慧新城均价为：7000元/平方米,,在售,市场类商铺/商住公寓/品牌地产/创意地产,[二,,[二环以外]包河区繁华大道与重庆路交口东南,
尚东金座,9000,尚东金座在售商办公寓,,在售,其他/品牌地产/loft,[二,,[二环以外]肥东新安江路与祥和路交口西南200米,
北城中环城,4900,2居,87~105平米,在售,普通住宅/小户型/经济住宅/景观居所,水湖,,水湖镇北城新区阜阳北路和泉阳路交叉口,
长江8号,9200,1居,55~62平米,在售,购物中心/小户型/景观居所,[二,,[二环以外]高新区长江西路与磨子谭路交口,
南翔・茶里水街,9000,南翔・茶里水街均价为：9000元/平方米,,在售,市场类商铺/中式地产,[二,,[二环以外]包河区包河大道与西安路交汇处,
中N融智城,5700,5居以上,1500平米,在售,标准写字楼/中式地产,[二,,[二环以外]蜀山区蜀峰路与稻香路交口东北角,
工投・创智天地,6500,1居,100000000平米,在售,总部园区/标准写字楼,[二,,[二环以外]庐阳区阜阳路与北城大道交口,
嘉应茗阳水岸,6000,嘉应茗阳水岸在售价格为：6000元/平方米,,在售,普通住宅/景观居所/经济住宅,[二,,[二环以外]店埠镇长江东路与龙岗大道交口(金泰建材城旁),
京都公馆,4400,3居,95~150平米,在售,普通住宅,巢湖,,巢湖和县海峰路与禹锡路交汇处(新县医院对面),
合肥西南国际车城,6500,1居,62平米,在售,普通住宅,上派,,上派镇合肥市肥西县翡翠路与三河路交口南侧,
圣联东方早城,6000,2居/3居/4居,79~125平米,在售,普通住宅/现房/配套商品房/景观居所,[二,,[二环以外]店埠镇裕溪路高架东东风大道与和平路交口东北,
锦绣花园,9000,2居/3居,84~119平米,在售,普通住宅/现房/经济住宅/景观居所,[二,,[二环以外]店埠镇撮镇东部新城区合马路与店忠路交口向北200米,
