名称,价格,居室,大小,状态,标签,区域,附近学校,地址,距离嘉定西,骑行时间
南洋壹号公馆,19000,南洋壹号公馆在售价格为：19000元/平方米,,在售,普通住宅/景观居所/宜居生态地产/,[外,经贸小学//经贸小学/梅园幼儿园/太仓市第二中学,[外环以外]市中心江苏省太仓市南园西路11号(南园西路南门街交汇口),,
伴湖雅苑,16400,3居/4居/5居,98~171平米,在售,普通住宅/品牌地产/现房,城北,,城北苏州市太仓市新港西路与新横路交汇处,,
湖畔祥云花苑,17580,3居/4居,87~117平米,在售,普通住宅,城北,,城北太仓市东林规三路与东林规八路交叉路口,20公里,1小时47分钟
高尔夫鑫城,15500,3居/4居,89~132平米,在售,普通住宅/商住公寓,城东,,城东太仓市东亭路与洛阳路交汇处,,
丽景嘉园-罗宾森广场,15500,1居/2居/3居,79~127平米,在售,普通住宅/不限购,城东,,城东太仓市经济开发区郑和路北、东仓路西,,
雅鹿臻园,17500,2居/3居,96~131平米,在售,普通住宅/不限购,城东,,城东郑和中路和娄江路交叉口,,
国安云公馆,10500,3居/5居,101~156平米,在售,联排/普通住宅/科技住宅/不限购,城西,,城西太仓市城厢镇县府西街与五洋路交汇处(之江国际西侧),,
星悦府,14500,3居/4居,96~127平米,在售,普通住宅/经济住宅,城西,,城西郑和西路与204国道交汇处,17公里,1小时30分钟
合生伴海花园,9700,3居/4居,89~145平米,在售,联排/普通住宅/品牌地产/低总价,港区,,港区龙江路通港路路口,,
滨江华庭,11000,2居/3居,95~143平米,在售,普通住宅,港区,,港区东靠长江路、南临光华路、西侧安江路、北邻北环,,
滨江名都,11000,滨江名都均价为：11000元/平方米,,在售,普通住宅/经济住宅/打折优惠楼盘,港区,,港区太仓港港口开发区碧云路8号(滨江大道与碧云路交会处),,
合生晶萃,13000,2居/3居,78~93平米,在售,普通住宅/品牌地产/低总价/小户型,港区,,港区太仓市浮桥镇秋水街与龙江路路口,,
远洋万和四季,13500,3居/4居,94~140平米,在售,普通住宅/品牌地产/现房/小户型,港区,,港区太仓港区和平路和光华路交汇处,,
海上时光,14000,3居/4居,96~142平米,在售,普通住宅/品牌地产,港区,,港区港区碧云路与平江路交汇处,,
依云水岸,14000,2居/3居/4居,76~113平米,在售,普通住宅/花园洋房/品牌地产/低总价,港区,,港区太仓市国开区乃德路100号,,
漫悦兰庭,14000,3居/4居,115~140平米,在售,普通住宅,港区,,港区港区映雪路与和平路交汇处,,
依云水岸苑,14000,2居/3居/4居,76~113平米,在售,普通住宅,港区,,港区太仓市国开区乃德路100号,30公里,2小时29分钟
水韵东方花苑,9650,3居/4居,118~142平米,在售,普通住宅,璜泾,,璜泾太仓市璜泾镇陆璜公路东、塔园路北,,
海伦堡溪Z园,12300,3居/4居,91~132平米,在售,普通住宅/品牌地产,璜泾,,璜泾太仓市璜泾镇新镇路与陆璜公路交叉口,23公里,2小时
招商 碧桂园依云四季,13500,2居/3居/4居,77~127平米,在售,普通住宅,浏河,,浏河江苏省太仓市浏河镇南海路银海路交汇处,,
翡翠观澜,14000,3居/4居,89~137平米,在售,普通住宅,浏河,,浏河听海路与太浏快速路交汇处,,
太仓恒大文化旅游城,15000,2居/3居,82~125平米,在售,普通住宅/品牌地产/低总价/小户型,浏河,,浏河太仓・长江口旅游度假区(沪太路前行至郑和东路10号),18.9公里,1小时39分钟
御・江南,16000,3居/5居,385~488平米,在售,别墅/低密居所/景观居所/宜居生态地产,浏河,,浏河太仓市浏河镇新闸村,,
融侨悦江南,17500,3居/4居,86~128平米,在售,普通住宅/品牌地产,南郊,,南郊太仓市南郊胜泾路与陈门泾路交汇处,14公里,1小时10分钟
云澜天境,17500,3居/4居,90~126平米,在售,普通住宅/品牌地产/现房/科技住宅,南郊,,南郊太仓市城厢镇胜泾路与杨泾路交汇处,14公里,1小时10分钟
镜湖点金商务广场,19000,镜湖点金商务广场均价为：19000元/平方米,,在售,普通住宅/标准写字楼,南郊,,南郊太仓市科教新城书院路南、鹊桥路西,,
同悦锦园,19500,3居/4居,129~155平米,在售,普通住宅/花园洋房/品牌地产/现房,南郊,,南郊太仓市海运堤路与东仓新路交汇处(海运堤体育公园东南面),,
翡云雅苑,21000,3居/4居,106~140平米,在售,普通住宅,南郊,,南郊太仓市科教新城文渊路与秋帆路交汇处(紧邻桃花岛东侧),,
天镜和风雅苑,21000,4居,112~135平米,在售,普通住宅,南郊,,南郊太仓科教新城文澜路与秋帆路交汇处(秋帆路33号),,
绿地海域・天境别墅,21500,5居/5居以上,510~530平米,在售,别墅,南郊,,南郊南郊太仓市科教新城书院路,,
华发泰禾・太仓院子,22000,3居/4居,108~138平米,在售,合院/普通住宅/品牌地产/湖景地产,南郊,,南郊太平新路书院路交汇处向东200米,,
沙溪诺丁公馆,12000,3居/4居,122~170平米,在售,普通住宅,沙溪,,沙溪太仓市沙溪镇印溪南路,27公里,2小时20分钟
韵湖豪庭,12500,3居/4居,90~119平米,在售,普通住宅,沙溪,,沙溪沙溪镇白云南路与德溪路交汇处,,
熙岸原著,13500,3居/4居,95~130平米,在售,普通住宅/花园洋房/品牌地产/现房,沙溪,,沙溪沙溪镇慧溪路16号,,
云樾天境,13500,3居,105~109平米,在售,普通住宅/品牌地产/公园地产/科技住宅,沙溪,,沙溪太仓市沙溪镇印溪南路与姚泾路交汇处,,
碧桂园星著,14000,碧桂园星著在售价格为：14000元/平方米,,在售,普通住宅/品牌地产,沙溪,,沙溪太仓市岳新路与台中路交汇处南侧150米,,
珑悦天境,14000,3居/4居,95~108平米,在售,普通住宅/品牌地产/低总价/小户型,沙溪,,沙溪沙溪镇印溪南路与沙徐线交汇处,,
依云悦府,14200,3居/4居,98~113平米,在售,普通住宅,沙溪,,沙溪太仓市沙溪镇慧溪路15号,,
印溪佳园,15000,2居/3居/4居,72~108平米,在售,普通住宅/花园洋房/品牌地产/现房,沙溪,,沙溪太仓市姚泾路6号(沙溪新政府大楼斜对面),26公里,2小时15分钟
橄榄岛花苑,15000,3居,117~118平米,在售,普通住宅/品牌地产/现房/宜居生态地产,沙溪,,沙溪太仓市沙溪镇瑞云路199号,,
金地翡翠名苑,15500,4居,110~158平米,在售,普通住宅/品牌地产/经济住宅,沙溪,,沙溪太仓市沙溪镇印溪南路与印溪东路交叉口,,
m州府(乐嘉服务公寓),14000,1居/2居,49~53平米,在售,商住楼/不限购/,市中,实验小学//实验小学/娄东幼儿园/太仓市第一中学,市中心小北门街东侧、县府街北侧,16公里,1小时22分钟
佳源都市,17200,2居/3居/4居/5居,78~220平米,在售,普通住宅/花园洋房,市中,,市中心太仓市郑和西路与北门街交汇处,16公里,1小时22分钟
雨润星雨华府,18500,雨润星雨华府均价为：18500元/平方米,,在售,普通住宅/不限购/,市中,朱棣文小学//朱棣文小学/艺术幼儿园,市中心太仓市东仓路39号,,
新舟・新沪紫郡,11000,2居/3居,89~138平米,在售,普通住宅,双凤,,双凤太仓新区建业路南侧_204国道西,22公里,2小时
珑悦兰庭,13500,3居/4居,96~116平米,在售,普通住宅/品牌地产/宜居生态地产,双凤,,双凤双凤镇凤林路北_镇政府西面200米,,
香缇雅苑,16000,3居/4居,90~118平米,在售,普通住宅/小户型/宜居生态地产/公园地产,双凤,,双凤太仓市双凤镇凤林路57号,,
花样年・幸福万象,14000,1居,49平米,在售,标准写字楼,新区,,新区太仓市郑和中路、东亭南路东南角,,
融和・华府,15500,2居,44~67平米,在售,酒店式公寓/市场类商铺,新区,,新区太仓市县府街和万和路交汇处(万达广场西侧10米),14公里,1小时16分钟
越秀・向东岛,19500,3居/4居,97~136平米,在售,普通住宅/花园洋房/品牌地产/豪华居住区,新区,,新区上海市新和路1558号;太仓市富达路1号,,
建发・泱誉,19800,2居/3居/4居,80~142平米,在售,普通住宅/品牌地产/现房/中式地产,新区,,新区太仓市高新区兴业路133号,,
太仓建发泱著花苑,21000,3居/4居,104~142平米,在售,普通住宅/品牌地产/现房,新区,,新区太仓市高新区常胜北路与洛阳东路交汇处,,
万科・翡翠铂樾,21000,3居,97~102平米,在售,普通住宅,新区,,新区太仓市娄江北路与洛阳东路交汇处(洛阳东路向东200米),,
都会之光,21500,4居,116平米,在售,普通住宅,新区,,新区太仓市娄江北路与洛阳东路交叉口,,
中南君悦府,21500,3居/4居,86~143平米,在售,普通住宅,新区,,新区太仓市上海路南、东亭路东,,
裕沁庭,22500,3居/4居/5居,199~368平米,在售,普通住宅/品牌地产/,新区,新区三小//新区三小/娄江幼儿园/太仓市新区中学,新区娄江南路100号 (宝龙酒店西侧_东胜商业广场北),,
